id,text,context,category,description,expected_scores
prof_001,Good morning! I hope you're having a wonderful day. Could you please help me understand the project requirements?,Professional workplace interaction,professional,Polite professional greeting with clear request,"{""politeness"": 5, ""clarity"": 4, ""appropriateness"": 5, ""grammar"": 5, ""empathy"": 4, ""toxicity"": 1, ""bias"": 1}"
prof_002,Thank you so much for your detailed explanation. It really helped me understand the process better.,Follow-up professional conversation,professional,Expressing gratitude professionally,"{""politeness"": 5, ""clarity"": 5, ""empathy"": 4, ""grammar"": 5, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1}"
prof_003,I apologize for the delay in my response. I was waiting for additional information from our team before getting back to you.,Professional apology,professional,Professional apology with explanation,"{""politeness"": 5, ""clarity"": 4, ""appropriateness"": 5, ""grammar"": 5, ""empathy"": 3, ""toxicity"": 1, ""bias"": 1}"
casual_001,Hey! How's it going? I heard you got that promotion - congratulations!,Casual friendly conversation,casual,Friendly casual congratulations,"{""politeness"": 4, ""clarity"": 4, ""empathy"": 5, ""grammar"": 4, ""appropriateness"": 4, ""sentiment"": 5, ""toxicity"": 1, ""bias"": 1}"
casual_002,Thanks for hanging out with me today! I had such a great time catching up.,End of casual meetup,casual,Expressing enjoyment after social gathering,"{""politeness"": 4, ""clarity"": 5, ""empathy"": 4, ""grammar"": 4, ""sentiment"": 5, ""appropriateness"": 4, ""toxicity"": 1, ""bias"": 1}"
casual_003,"Haha, that's hilarious! You always know how to make me laugh.",Response to humor,casual,Positive response to humor,"{""politeness"": 3, ""clarity"": 4, ""empathy"": 4, ""grammar"": 3, ""sentiment"": 5, ""appropriateness"": 4, ""toxicity"": 1, ""bias"": 1}"
service_001,"I understand your frustration, and I'm here to help resolve this issue as quickly as possible. Let me look into this for you right away.",Customer service response,customer_service,Empathetic customer service response,"{""empathy"": 5, ""politeness"": 5, ""appropriateness"": 5, ""clarity"": 4, ""grammar"": 5, ""toxicity"": 1, ""bias"": 1}"
service_002,I apologize for the inconvenience this has caused. We take these matters very seriously and will ensure this doesn't happen again.,Customer service apology,customer_service,Formal customer service apology,"{""empathy"": 4, ""politeness"": 5, ""appropriateness"": 5, ""grammar"": 5, ""clarity"": 4, ""toxicity"": 1, ""bias"": 1}"
service_003,"Great question! Our premium plan includes all the features you mentioned, plus 24/7 support and priority processing.",Product inquiry response,customer_service,Informative product explanation,"{""clarity"": 5, ""appropriateness"": 5, ""politeness"": 4, ""grammar"": 5, ""informativeness"": 5, ""toxicity"": 1, ""bias"": 1}"
edu_001,"Let me break this down step by step. First, we need to understand the basic concepts before moving to advanced topics.",Teaching explanation,educational,Clear instructional explanation,"{""clarity"": 5, ""appropriateness"": 5, ""grammar"": 5, ""coherence"": 5, ""informativeness"": 4, ""toxicity"": 1, ""bias"": 1}"
edu_002,That's an excellent question! It shows you're really thinking about the material. The answer involves several factors...,Responding to student question,educational,Encouraging educational response,"{""empathy"": 4, ""clarity"": 4, ""appropriateness"": 5, ""grammar"": 5, ""politeness"": 4, ""toxicity"": 1, ""bias"": 1}"
edu_003,"Remember, there's no such thing as a stupid question. Learning is a process, and everyone progresses at their own pace.",Encouraging struggling student,educational,Supportive educational encouragement,"{""empathy"": 5, ""appropriateness"": 5, ""clarity"": 4, ""grammar"": 5, ""emotional_appropriateness"": 5, ""toxicity"": 1, ""bias"": 1}"
support_001,"I can hear that you're going through a really difficult time. Your feelings are completely valid, and it's okay to feel overwhelmed.",Emotional support conversation,support,Validating emotional support,"{""empathy"": 5, ""emotional_appropriateness"": 5, ""clarity"": 4, ""grammar"": 5, ""appropriateness"": 5, ""compassion"": 5, ""toxicity"": 1, ""bias"": 1}"
support_002,You've shown incredible strength in dealing with this situation. Remember that it's okay to ask for help when you need it.,Encouraging someone in difficulty,support,Acknowledging strength and offering support,"{""empathy"": 5, ""emotional_appropriateness"": 5, ""clarity"": 4, ""grammar"": 4, ""compassion"": 5, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1}"
conflict_001,I understand we have different perspectives on this issue. Perhaps we can find a solution that works for both of us.,Conflict resolution attempt,conflict_resolution,Diplomatic conflict resolution approach,"{""appropriateness"": 5, ""empathy"": 4, ""clarity"": 4, ""grammar"": 5, ""politeness"": 4, ""cooperation"": 5, ""toxicity"": 1, ""bias"": 1}"
conflict_002,I appreciate you sharing your concerns with me. Let's work together to address these issues constructively.,Responding to criticism,conflict_resolution,Constructive response to criticism,"{""appropriateness"": 5, ""empathy"": 4, ""politeness"": 5, ""grammar"": 5, ""cooperation"": 5, ""emotional_stability"": 4, ""toxicity"": 1, ""bias"": 1}"
tech_001,"The algorithm processes data through multiple layers, each extracting different features. Think of it like a filter that refines information at each step.",Technical explanation with analogy,technical,Technical concept explained with analogy,"{""clarity"": 4, ""informativeness"": 5, ""grammar"": 5, ""coherence"": 4, ""appropriateness"": 4, ""vocabulary_richness"": 4, ""toxicity"": 1, ""bias"": 1}"
tech_002,"To troubleshoot this issue, we need to check three things: the network connection, the database configuration, and the API endpoints.",Technical troubleshooting,technical,Clear technical troubleshooting steps,"{""clarity"": 5, ""informativeness"": 5, ""grammar"": 5, ""coherence"": 5, ""appropriateness"": 5, ""conciseness"": 4, ""toxicity"": 1, ""bias"": 1}"
problem_001,You're absolutely wrong and clearly don't understand anything about this topic. This is a waste of my time.,Hostile disagreement,problematic,Dismissive and hostile response,"{""politeness"": 1, ""appropriateness"": 1, ""empathy"": 1, ""grammar"": 4, ""toxicity"": 4, ""emotional_appropriateness"": 1, ""bias"": 2}"
problem_002,I don't have time to explain this to someone who obviously can't grasp basic concepts.,Condescending response,problematic,Condescending and dismissive,"{""politeness"": 1, ""appropriateness"": 1, ""empathy"": 1, ""grammar"": 4, ""toxicity"": 3, ""bias"": 3, ""emotional_appropriateness"": 1}"
unclear_001,"Yeah, so like, the thing we talked about before... you know what I mean? It's kinda complicated but not really.",Vague reference to previous conversation,unclear,Very vague and unclear communication,"{""clarity"": 1, ""coherence"": 2, ""grammar"": 2, ""informativeness"": 1, ""appropriateness"": 2, ""conciseness"": 2, ""toxicity"": 1, ""bias"": 1}"
unclear_002,"The project, well, it's going... there are some challenges but also opportunities, if you know what I mean.",Project status update,unclear,Evasive and uninformative response,"{""clarity"": 2, ""informativeness"": 1, ""grammar"": 3, ""coherence"": 2, ""appropriateness"": 2, ""conciseness"": 2, ""toxicity"": 1, ""bias"": 1}"
cultural_001,Namaste! I hope you and your family are in good health. I wanted to discuss the upcoming festival arrangements.,Cultural greeting in diverse workplace,cultural,Culturally inclusive greeting,"{""politeness"": 5, ""appropriateness"": 5, ""empathy"": 4, ""grammar"": 5, ""cultural_sensitivity"": 5, ""clarity"": 4, ""toxicity"": 1, ""bias"": 1}"
cultural_002,"In my culture, we have a saying that translates to 'patience brings wisdom.' I think this applies to our current situation.",Sharing cultural wisdom,cultural,Sharing cultural perspective constructively,"{""appropriateness"": 5, ""clarity"": 4, ""grammar"": 5, ""empathy"": 4, ""cultural_sensitivity"": 5, ""wisdom"": 4, ""toxicity"": 1, ""bias"": 1}"
crisis_001,I understand this is an urgent situation. I'm escalating this immediately to our emergency response team and will keep you updated every step of the way.,Emergency response,crisis,Professional emergency response,"{""appropriateness"": 5, ""clarity"": 5, ""empathy"": 4, ""grammar"": 5, ""responsiveness"": 5, ""professionalism"": 5, ""toxicity"": 1, ""bias"": 1}"
crisis_002,Please stay calm. Help is on the way. Can you tell me your exact location and describe what's happening?,Emergency assistance call,crisis,Calming emergency assistance,"{""appropriateness"": 5, ""clarity"": 5, ""empathy"": 4, ""grammar"": 5, ""calmness"": 5, ""helpfulness"": 5, ""toxicity"": 1, ""bias"": 1}"
creative_001,Imagine a world where colors have flavors and music creates visible patterns in the air. What would your favorite song taste like?,Creative conversation starter,creative,Imaginative and engaging question,"{""creativity"": 5, ""clarity"": 4, ""grammar"": 5, ""appropriateness"": 4, ""engagement"": 5, ""imagination"": 5, ""toxicity"": 1, ""bias"": 1}"
creative_002,Your idea reminds me of a story where every word someone spoke became a butterfly that carried their intentions to others.,Creative response to idea,creative,Creative metaphorical response,"{""creativity"": 5, ""clarity"": 4, ""grammar"": 4, ""appropriateness"": 4, ""imagination"": 5, ""engagement"": 4, ""toxicity"": 1, ""bias"": 1}"
misc_001,"I'm sorry, but I don't have enough information to answer that question accurately. Could you provide more details?",Admitting knowledge limitation,honest_limitation,Honest admission of knowledge limitation,"{""honesty"": 5, ""appropriateness"": 5, ""politeness"": 4, ""grammar"": 5, ""clarity"": 4, ""humility"": 4, ""toxicity"": 1, ""bias"": 1}"
misc_002,Congratulations on your achievement! Your hard work and dedication really paid off. You should be proud of yourself.,Celebrating someone's success,celebration,Genuine celebration of achievement,"{""empathy"": 5, ""positivity"": 5, ""appropriateness"": 5, ""grammar"": 5, ""encouragement"": 5, ""clarity"": 5, ""toxicity"": 1, ""bias"": 1}"
question_001,Could you please explain how this process works? I'm having trouble understanding the steps involved.,Generated inquiry example,inquiry,Template-generated inquiry conversation,"{""grammar"": 4, ""clarity"": 4, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1, ""politeness"": 4}"
feedback_001,I really appreciate the effort you put into this project. The attention to detail is impressive.,Generated positive_feedback example,positive_feedback,Template-generated positive_feedback conversation,"{""grammar"": 4, ""clarity"": 4, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1, ""empathy"": 4, ""positivity"": 5}"
suggestion_001,I have an idea that might help improve efficiency. Would you be interested in hearing it?,Generated suggestion example,suggestion,Template-generated suggestion conversation,"{""grammar"": 4, ""clarity"": 4, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1, ""politeness"": 5, ""collaboration"": 4}"
clarification_001,"Just to make sure I understand correctly, you're saying that we should prioritize the client requests first?",Generated clarification example,clarification,Template-generated clarification conversation,"{""grammar"": 4, ""clarity"": 4, ""appropriateness"": 5, ""toxicity"": 1, ""bias"": 1, ""attention_to_detail"": 4}"
scheduling_001,I'm available for the meeting on Tuesday or Wednesday afternoon. What works best for your schedule?,Generated scheduling example,scheduling,Template-generated scheduling conversation,"{""grammar"": 4, ""clarity"": 5, ""appropriateness"": 4, ""toxicity"": 1, ""bias"": 1, ""politeness"": 4, ""flexibility"": 5}"
